name,workload,distribution,access,lock,memory_affinity,threads,throughput
hashbrown,Read,Uniform,Erew,Shared,Local,16,52364516
hashbrown,Read,Uniform,Erew,Sharded,Remote,1,2307615
hashbrown,Read,Uniform,Erew,Sharded,Remote,2,4605869
hashbrown,Read,Uniform,Erew,Sharded,Remote,3,7123485
hashbrown,Read,Uniform,Erew,Sharded,Remote,4,9208894
hashbrown,Read,Uniform,Erew,Sharded,Remote,5,12219546
hashbrown,Read,Uniform,Erew,Sharded,Remote,6,14459183
hashbrown,Read,Uniform,Erew,Sharded,Remote,7,16563063
hashbrown,Read,Uniform,Erew,Sharded,Remote,8,18577135
hashbrown,Read,Uniform,Erew,Sharded,Remote,9,21423974
hashbrown,Read,Uniform,Erew,Sharded,Remote,10,24669955
hashbrown,Read,Uniform,Erew,Sharded,Remote,11,27067431
hashbrown,Read,Uniform,Erew,Sharded,Remote,12,29392849
hashbrown,Read,Uniform,Erew,Sharded,Remote,13,31713976
hashbrown,Read,Uniform,Erew,Sharded,Remote,14,33818567
hashbrown,Read,Uniform,Erew,Sharded,Remote,15,35912748
hashbrown,Read,Uniform,Erew,Sharded,Remote,16,37992697
hashbrown,Read,Uniform,Erew,Shared,Remote,1,2255209
hashbrown,Read,Uniform,Erew,Shared,Remote,2,4519553
hashbrown,Read,Uniform,Erew,Shared,Remote,3,6968934
hashbrown,Read,Uniform,Erew,Shared,Remote,4,9047537
hashbrown,Read,Uniform,Erew,Shared,Remote,5,11938680
hashbrown,Read,Uniform,Erew,Shared,Remote,6,14146625
hashbrown,Read,Uniform,Erew,Shared,Remote,7,16220454
hashbrown,Read,Uniform,Erew,Shared,Remote,8,18224420
hashbrown,Read,Uniform,Erew,Shared,Remote,9,20914051
hashbrown,Read,Uniform,Erew,Shared,Remote,10,24055613
hashbrown,Read,Uniform,Erew,Shared,Remote,11,26415520
hashbrown,Read,Uniform,Erew,Shared,Remote,12,28777660
hashbrown,Read,Uniform,Erew,Shared,Remote,13,30958994
hashbrown,Read,Uniform,Erew,Shared,Remote,14,33130286
hashbrown,Read,Uniform,Erew,Shared,Remote,15,35198827
hashbrown,Read,Uniform,Erew,Shared,Remote,16,37229446
hashbrown,Read,Uniform,Crew,Shared,Local,1,2931988
hashbrown,Read,Uniform,Crew,Shared,Local,2,5874938
hashbrown,Read,Uniform,Crew,Shared,Local,3,8816873
hashbrown,Read,Uniform,Crew,Shared,Local,4,11752049
hashbrown,Read,Uniform,Crew,Shared,Local,5,14644436
hashbrown,Read,Uniform,Crew,Shared,Local,6,17597644
hashbrown,Read,Uniform,Crew,Shared,Local,7,20526446
hashbrown,Read,Uniform,Crew,Shared,Local,8,23449810
hashbrown,Read,Uniform,Crew,Shared,Local,9,26336027
hashbrown,Read,Uniform,Crew,Shared,Local,10,29217840
hashbrown,Read,Uniform,Crew,Shared,Local,11,32048849
hashbrown,Read,Uniform,Crew,Shared,Local,12,34864185
hashbrown,Read,Uniform,Crew,Shared,Local,13,37733155
hashbrown,Read,Uniform,Crew,Shared,Local,14,40865679
hashbrown,Read,Uniform,Crew,Shared,Local,15,43761986
hashbrown,Read,Uniform,Crew,Shared,Local,16,46771902
hashbrown,Read,Uniform,Crew,Shared,Remote,1,2197462
hashbrown,Read,Uniform,Crew,Shared,Remote,2,4311345
hashbrown,Read,Uniform,Crew,Shared,Remote,3,6445005
hashbrown,Read,Uniform,Crew,Shared,Remote,4,8571763
hashbrown,Read,Uniform,Crew,Shared,Remote,5,10694342
hashbrown,Read,Uniform,Crew,Shared,Remote,6,12812350
hashbrown,Read,Uniform,Crew,Shared,Remote,7,14933878
hashbrown,Read,Uniform,Crew,Shared,Remote,8,17049898
hashbrown,Read,Uniform,Crew,Shared,Remote,9,19174526
hashbrown,Read,Uniform,Crew,Shared,Remote,10,21274157
hashbrown,Read,Uniform,Crew,Shared,Remote,11,23394613
hashbrown,Read,Uniform,Crew,Shared,Remote,12,25494367
hashbrown,Read,Uniform,Crew,Shared,Remote,13,27597180
hashbrown,Read,Uniform,Crew,Shared,Remote,14,29738108
hashbrown,Read,Uniform,Crew,Shared,Remote,15,31847695
hashbrown,Read,Uniform,Crew,Shared,Remote,16,33939644
hashbrown,Read,Zipf,Erew,Sharded,Local,1,3545123
hashbrown,Read,Zipf,Erew,Sharded,Local,2,7238821
hashbrown,Read,Zipf,Erew,Sharded,Local,3,11131554
hashbrown,Read,Zipf,Erew,Sharded,Local,4,14743555
hashbrown,Read,Zipf,Erew,Sharded,Local,5,18941807
hashbrown,Read,Zipf,Erew,Sharded,Local,6,22699284
hashbrown,Read,Zipf,Erew,Sharded,Local,7,26421484
hashbrown,Read,Zipf,Erew,Sharded,Local,8,30176578
hashbrown,Read,Zipf,Erew,Sharded,Local,9,33890832
hashbrown,Read,Zipf,Erew,Sharded,Local,10,39033916
hashbrown,Read,Zipf,Erew,Sharded,Local,11,42932326
hashbrown,Read,Zipf,Erew,Sharded,Local,12,46705457
hashbrown,Read,Zipf,Erew,Sharded,Local,13,50508519
hashbrown,Read,Zipf,Erew,Sharded,Local,14,54327235
hashbrown,Read,Zipf,Erew,Sharded,Local,15,58197986
hashbrown,Read,Zipf,Erew,Sharded,Local,16,61903827
hashbrown,Read,Zipf,Erew,Shared,Local,1,3426321
hashbrown,Read,Zipf,Erew,Shared,Local,2,7022700
hashbrown,Read,Zipf,Erew,Shared,Local,3,10755662
hashbrown,Read,Zipf,Erew,Shared,Local,4,14090238
hashbrown,Read,Zipf,Erew,Shared,Local,5,18364529
hashbrown,Read,Zipf,Erew,Shared,Local,6,21992086
hashbrown,Read,Zipf,Erew,Shared,Local,7,25600568
hashbrown,Read,Zipf,Erew,Shared,Local,8,29211944
hashbrown,Read,Zipf,Erew,Shared,Local,9,32839371
hashbrown,Read,Zipf,Erew,Shared,Local,10,37805173
hashbrown,Read,Zipf,Erew,Shared,Local,11,41494400
hashbrown,Read,Zipf,Erew,Shared,Local,12,45209732
hashbrown,Read,Zipf,Erew,Shared,Local,13,48908349
hashbrown,Read,Zipf,Erew,Shared,Local,14,52658632
hashbrown,Read,Zipf,Erew,Shared,Local,15,55588273
hashbrown,Read,Zipf,Erew,Shared,Local,16,59971611
hashbrown,Read,Zipf,Erew,Sharded,Remote,1,3042758
hashbrown,Read,Zipf,Erew,Sharded,Remote,2,6105537
hashbrown,Read,Zipf,Erew,Sharded,Remote,3,9354424
hashbrown,Read,Zipf,Erew,Sharded,Remote,4,12322379
hashbrown,Read,Zipf,Erew,Sharded,Remote,5,15869331
hashbrown,Read,Zipf,Erew,Sharded,Remote,6,18940134
hashbrown,Read,Zipf,Erew,Sharded,Remote,7,21686303
hashbrown,Read,Zipf,Erew,Sharded,Remote,8,25063724
hashbrown,Read,Zipf,Erew,Sharded,Remote,9,28113222
hashbrown,Read,Zipf,Erew,Sharded,Remote,10,32493663
hashbrown,Read,Zipf,Erew,Sharded,Remote,11,35664946
hashbrown,Read,Zipf,Erew,Sharded,Remote,12,38783501
hashbrown,Read,Zipf,Erew,Sharded,Remote,13,41914330
hashbrown,Read,Zipf,Erew,Sharded,Remote,14,44997247
hashbrown,Read,Zipf,Erew,Sharded,Remote,15,48105812
hashbrown,Read,Zipf,Erew,Sharded,Remote,16,51152298
hashbrown,Read,Zipf,Erew,Shared,Remote,1,2947744
hashbrown,Read,Zipf,Erew,Shared,Remote,2,5950955
hashbrown,Read,Zipf,Erew,Shared,Remote,3,9095859
hashbrown,Read,Zipf,Erew,Shared,Remote,4,11998577
hashbrown,Read,Zipf,Erew,Shared,Remote,5,15443712
hashbrown,Read,Zipf,Erew,Shared,Remote,6,18456187
hashbrown,Read,Zipf,Erew,Shared,Remote,7,21414401
hashbrown,Read,Zipf,Erew,Shared,Remote,8,24402391
hashbrown,Read,Zipf,Erew,Shared,Remote,9,27365679
hashbrown,Read,Zipf,Erew,Shared,Remote,10,31617985
hashbrown,Read,Zipf,Erew,Shared,Remote,11,34693298
hashbrown,Read,Zipf,Erew,Shared,Remote,12,37759640
hashbrown,Read,Zipf,Erew,Shared,Remote,13,40762884
hashbrown,Read,Zipf,Erew,Shared,Remote,14,43808577
hashbrown,Read,Zipf,Erew,Shared,Remote,15,46857373
hashbrown,Read,Zipf,Erew,Shared,Remote,16,49791270
hashbrown,Read,Zipf,Crew,Shared,Local,1,3934457
hashbrown,Read,Zipf,Crew,Shared,Local,2,7380626
hashbrown,Read,Zipf,Crew,Shared,Local,3,10498053
hashbrown,Read,Zipf,Crew,Shared,Local,4,13528621
hashbrown,Read,Zipf,Crew,Shared,Local,5,15772023
hashbrown,Read,Zipf,Crew,Shared,Local,6,17479377
hashbrown,Read,Zipf,Crew,Shared,Local,7,18446741
hashbrown,Read,Zipf,Crew,Shared,Local,8,19120594
hashbrown,Read,Zipf,Crew,Shared,Local,9,19115234
hashbrown,Read,Zipf,Crew,Shared,Local,10,19187834
hashbrown,Read,Zipf,Crew,Shared,Local,11,18920312
hashbrown,Read,Zipf,Crew,Shared,Local,12,18995053
hashbrown,Read,Zipf,Crew,Shared,Local,13,18917392
hashbrown,Read,Zipf,Crew,Shared,Local,14,19049088
hashbrown,Read,Zipf,Crew,Shared,Local,15,18925817
hashbrown,Read,Zipf,Crew,Shared,Local,16,18949548
hashbrown,Read,Zipf,Crew,Shared,Remote,1,3462943
hashbrown,Read,Zipf,Crew,Shared,Remote,2,6540669
hashbrown,Read,Zipf,Crew,Shared,Remote,3,9463501
hashbrown,Read,Zipf,Crew,Shared,Remote,4,12160620
hashbrown,Read,Zipf,Crew,Shared,Remote,5,14395165
hashbrown,Read,Zipf,Crew,Shared,Remote,6,16468663
hashbrown,Read,Zipf,Crew,Shared,Remote,7,17983510
hashbrown,Read,Zipf,Crew,Shared,Remote,8,19030679
hashbrown,Read,Zipf,Crew,Shared,Remote,9,19228130
hashbrown,Read,Zipf,Crew,Shared,Remote,10,19280238
hashbrown,Read,Zipf,Crew,Shared,Remote,11,19131183
hashbrown,Read,Zipf,Crew,Shared,Remote,12,19296798
hashbrown,Read,Zipf,Crew,Shared,Remote,13,19242567
hashbrown,Read,Zipf,Crew,Shared,Remote,14,19095095
hashbrown,Read,Zipf,Crew,Shared,Remote,15,19181122
hashbrown,Read,Zipf,Crew,Shared,Remote,16,19425552
hashbrown,Write,Uniform,Erew,Sharded,Local,1,3979622
hashbrown,Write,Uniform,Erew,Sharded,Local,2,8327379
hashbrown,Write,Uniform,Erew,Sharded,Local,3,13710273
hashbrown,Write,Uniform,Erew,Sharded,Local,4,17760967
hashbrown,Write,Uniform,Erew,Sharded,Local,5,25612759
hashbrown,Write,Uniform,Erew,Sharded,Local,6,30144789
hashbrown,Write,Uniform,Erew,Sharded,Local,7,34543873
hashbrown,Write,Uniform,Erew,Sharded,Local,8,38866932
hashbrown,Write,Uniform,Erew,Sharded,Local,9,44616483
hashbrown,Write,Uniform,Erew,Sharded,Local,10,58614000
hashbrown,Write,Uniform,Erew,Sharded,Local,11,63859557
hashbrown,Write,Uniform,Erew,Sharded,Local,12,68836038
hashbrown,Write,Uniform,Erew,Sharded,Local,13,73633505
hashbrown,Write,Uniform,Erew,Sharded,Local,14,78268595
hashbrown,Write,Uniform,Erew,Sharded,Local,15,83002468
hashbrown,Write,Uniform,Erew,Sharded,Local,16,87429763
hashbrown,Write,Uniform,Erew,Shared,Local,1,3781078
hashbrown,Write,Uniform,Erew,Shared,Local,2,7822371
hashbrown,Write,Uniform,Erew,Shared,Local,3,12764467
hashbrown,Write,Uniform,Erew,Shared,Local,4,16652380
hashbrown,Write,Uniform,Erew,Shared,Local,5,23755244
hashbrown,Write,Uniform,Erew,Shared,Local,6,27748210
hashbrown,Write,Uniform,Erew,Shared,Local,7,32023648
hashbrown,Write,Uniform,Erew,Shared,Local,8,36149778
hashbrown,Write,Uniform,Erew,Shared,Local,9,41247401
hashbrown,Write,Uniform,Erew,Shared,Local,10,53053849
hashbrown,Write,Uniform,Erew,Shared,Local,11,58059445
hashbrown,Write,Uniform,Erew,Shared,Local,12,62549576
hashbrown,Write,Uniform,Erew,Shared,Local,13,67030138
hashbrown,Write,Uniform,Erew,Shared,Local,14,72037471
hashbrown,Write,Uniform,Erew,Shared,Local,15,63378579
hashbrown,Write,Uniform,Erew,Shared,Local,16,80188869
hashbrown,Write,Uniform,Erew,Sharded,Remote,1,2796967
hashbrown,Write,Uniform,Erew,Sharded,Remote,2,5767612
hashbrown,Write,Uniform,Erew,Sharded,Remote,3,9237090
hashbrown,Write,Uniform,Erew,Sharded,Remote,4,11978153
hashbrown,Write,Uniform,Erew,Sharded,Remote,5,17278607
hashbrown,Write,Uniform,Erew,Sharded,Remote,6,20344381
hashbrown,Write,Uniform,Erew,Sharded,Remote,7,23315294
hashbrown,Write,Uniform,Erew,Sharded,Remote,8,26252905
hashbrown,Write,Uniform,Erew,Sharded,Remote,9,29865054
hashbrown,Write,Uniform,Erew,Sharded,Remote,10,39404503
hashbrown,Write,Uniform,Erew,Sharded,Remote,11,42869047
hashbrown,Write,Uniform,Erew,Sharded,Remote,12,46239088
hashbrown,Write,Uniform,Erew,Sharded,Remote,13,49479236
hashbrown,Write,Uniform,Erew,Sharded,Remote,14,52674167
hashbrown,Write,Uniform,Erew,Sharded,Remote,15,55785474
hashbrown,Write,Uniform,Erew,Sharded,Remote,16,58839409
hashbrown,Write,Uniform,Erew,Shared,Remote,1,2721599
hashbrown,Write,Uniform,Erew,Shared,Remote,2,5574747
hashbrown,Write,Uniform,Erew,Shared,Remote,3,8955497
hashbrown,Write,Uniform,Erew,Shared,Remote,4,11701364
hashbrown,Write,Uniform,Erew,Shared,Remote,5,16657068
hashbrown,Write,Uniform,Erew,Shared,Remote,6,19566064
hashbrown,Write,Uniform,Erew,Shared,Remote,7,22471981
hashbrown,Write,Uniform,Erew,Shared,Remote,8,25411356
hashbrown,Write,Uniform,Erew,Shared,Remote,9,26202820
hashbrown,Write,Uniform,Erew,Shared,Remote,10,37457647
hashbrown,Write,Uniform,Erew,Shared,Remote,11,35747510
hashbrown,Write,Uniform,Erew,Shared,Remote,12,43507995
hashbrown,Write,Uniform,Erew,Shared,Remote,13,46915539
hashbrown,Write,Uniform,Erew,Shared,Remote,14,50172186
hashbrown,Write,Uniform,Erew,Shared,Remote,15,53414658
hashbrown,Write,Uniform,Erew,Shared,Remote,16,46861799
hashbrown,Write,Uniform,Crew,Shared,Local,1,3691038
hashbrown,Write,Uniform,Crew,Shared,Local,2,7383716
hashbrown,Write,Uniform,Crew,Shared,Local,3,11075721
hashbrown,Write,Uniform,Crew,Shared,Local,4,14758687
hashbrown,Write,Uniform,Crew,Shared,Local,5,18386099
hashbrown,Write,Uniform,Crew,Shared,Local,6,22071952
hashbrown,Write,Uniform,Crew,Shared,Local,7,25676823
hashbrown,Write,Uniform,Crew,Shared,Local,8,29342202
hashbrown,Write,Uniform,Crew,Shared,Local,9,32870479
hashbrown,Write,Uniform,Crew,Shared,Local,10,36462874
hashbrown,Write,Uniform,Crew,Shared,Local,11,40031125
hashbrown,Write,Uniform,Crew,Shared,Local,12,43579421
hashbrown,Write,Uniform,Crew,Shared,Local,13,47117783
hashbrown,Write,Uniform,Crew,Shared,Local,14,50623418
hashbrown,Write,Uniform,Crew,Shared,Local,15,54204502
hashbrown,Write,Uniform,Crew,Shared,Local,16,57669244
hashbrown,Write,Uniform,Crew,Shared,Remote,1,2653865
hashbrown,Write,Uniform,Crew,Shared,Remote,2,5260745
hashbrown,Write,Uniform,Crew,Shared,Remote,3,7874447
hashbrown,Write,Uniform,Crew,Shared,Remote,4,10476012
hashbrown,Write,Uniform,Crew,Shared,Remote,5,13062972
hashbrown,Write,Uniform,Crew,Shared,Remote,6,15650966
hashbrown,Write,Uniform,Crew,Shared,Remote,7,18214073
hashbrown,Write,Uniform,Crew,Shared,Remote,8,20785725
hashbrown,Write,Uniform,Crew,Shared,Remote,9,23318192
hashbrown,Write,Uniform,Crew,Shared,Remote,10,25856929
hashbrown,Write,Uniform,Crew,Shared,Remote,11,28408049
hashbrown,Write,Uniform,Crew,Shared,Remote,12,30923298
hashbrown,Write,Uniform,Crew,Shared,Remote,13,33447852
hashbrown,Write,Uniform,Crew,Shared,Remote,14,35953086
hashbrown,Write,Uniform,Crew,Shared,Remote,15,38439131
hashbrown,Write,Uniform,Crew,Shared,Remote,16,40951315
hashbrown,Write,Zipf,Erew,Sharded,Local,1,5838670
hashbrown,Write,Zipf,Erew,Sharded,Local,2,11878685
hashbrown,Write,Zipf,Erew,Sharded,Local,3,18349469
hashbrown,Write,Zipf,Erew,Sharded,Local,4,24144679
hashbrown,Write,Zipf,Erew,Sharded,Local,5,31441926
hashbrown,Write,Zipf,Erew,Sharded,Local,6,37505206
hashbrown,Write,Zipf,Erew,Sharded,Local,7,43477553
hashbrown,Write,Zipf,Erew,Sharded,Local,8,49464693
hashbrown,Write,Zipf,Erew,Sharded,Local,9,55282506
hashbrown,Write,Zipf,Erew,Sharded,Local,10,65101401
hashbrown,Write,Zipf,Erew,Sharded,Local,11,71011575
hashbrown,Write,Zipf,Erew,Sharded,Local,12,77283598
hashbrown,Write,Zipf,Erew,Sharded,Local,13,83442371
hashbrown,Write,Zipf,Erew,Sharded,Local,14,89853552
hashbrown,Write,Zipf,Erew,Sharded,Local,15,95585072
hashbrown,Write,Zipf,Erew,Sharded,Local,16,101283328
hashbrown,Write,Zipf,Erew,Shared,Local,1,5397148
hashbrown,Write,Zipf,Erew,Shared,Local,2,10911057
hashbrown,Write,Zipf,Erew,Shared,Local,3,16863149
hashbrown,Write,Zipf,Erew,Shared,Local,4,22240425
hashbrown,Write,Zipf,Erew,Shared,Local,5,28887716
hashbrown,Write,Zipf,Erew,Shared,Local,6,34087473
hashbrown,Write,Zipf,Erew,Shared,Local,7,33775627
hashbrown,Write,Zipf,Erew,Shared,Local,8,45442923
hashbrown,Write,Zipf,Erew,Shared,Local,9,50948762
hashbrown,Write,Zipf,Erew,Shared,Local,10,50701853
hashbrown,Write,Zipf,Erew,Shared,Local,11,55372267
hashbrown,Write,Zipf,Erew,Shared,Local,12,60517495
hashbrown,Write,Zipf,Erew,Shared,Local,13,76500369
hashbrown,Write,Zipf,Erew,Shared,Local,14,81969064
hashbrown,Write,Zipf,Erew,Shared,Local,15,75459229
hashbrown,Write,Zipf,Crew,Shared,Local,1,6501509
hashbrown,Write,Zipf,Crew,Shared,Local,2,9636209
hashbrown,Write,Zipf,Crew,Shared,Local,3,10110948
hashbrown,Write,Zipf,Crew,Shared,Local,4,8504086
hashbrown,Write,Zipf,Crew,Shared,Local,5,6867393
hashbrown,Write,Zipf,Crew,Shared,Local,6,5788582
hashbrown,Write,Zipf,Crew,Shared,Local,7,4663078
hashbrown,Write,Zipf,Crew,Shared,Local,8,4175586
hashbrown,Write,Zipf,Crew,Shared,Local,9,3716871
hashbrown,Write,Zipf,Crew,Shared,Local,10,3364343
hashbrown,Write,Zipf,Crew,Shared,Local,11,3074450
hashbrown,Write,Zipf,Crew,Shared,Local,12,2858875
hashbrown,Write,Zipf,Crew,Shared,Local,13,2669673
hashbrown,Write,Zipf,Crew,Shared,Local,14,2410170
hashbrown,Write,Zipf,Crew,Shared,Local,15,2280943
hashbrown,Write,Zipf,Crew,Shared,Local,16,2025540
hashbrown,Write,Zipf,Crew,Shared,Remote,1,5395627
hashbrown,Write,Zipf,Crew,Shared,Remote,2,8536590
hashbrown,Write,Zipf,Crew,Shared,Remote,3,9675159
hashbrown,Write,Zipf,Crew,Shared,Remote,4,8713965
hashbrown,Write,Zipf,Crew,Shared,Remote,5,7141471
hashbrown,Write,Zipf,Crew,Shared,Remote,6,6020973
hashbrown,Write,Zipf,Crew,Shared,Remote,7,4815124
hashbrown,Write,Zipf,Crew,Shared,Remote,8,4151858
hashbrown,Write,Zipf,Crew,Shared,Remote,9,3689846
hashbrown,Write,Zipf,Crew,Shared,Remote,10,3369975
hashbrown,Write,Zipf,Crew,Shared,Remote,11,3061274
hashbrown,Write,Zipf,Crew,Shared,Remote,12,2848195
hashbrown,Write,Zipf,Crew,Shared,Remote,13,2660584
hashbrown,Write,Zipf,Crew,Shared,Remote,14,2420870
hashbrown,Write,Zipf,Crew,Shared,Remote,15,2266052
hashbrown,Write,Zipf,Crew,Shared,Remote,16,2007665
